,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
669,14,15,0,0.0,2014,1,1200.0,0,4,81.17,Bueno
1437,6,0,4,0.0,2012,1,427.333130143249,0,10,82.0,Bueno
2237,6,7,4,0.12,2014,1,371.5940262115209,0,3,78.58,Estándar
662,6,3,4,0.11,2013,1,464.49253276440106,0,4,81.25,Bueno
2015,3,3,4,0.11,2014,1,1200.0,0,7,71.75,Estándar
2788,8,7,3,0.11,2012,1,1325.0,0,3,85.17,Premium
509,2,3,4,0.0,2013,0,1750.0,0,1,82.17,Bueno
2585,0,0,3,0.11,2011,0,1250.0,0,2,86.08,Premium
1976,6,0,4,0.11,2012,1,399.46357817738493,1,4,78.33,Estándar
1713,11,15,4,0.14,2012,1,1450.0,0,34,79.17,Estándar
2748,1,1,0,0.1,2015,1,1700.0,0,0,85.33,Premium
811,15,15,4,0.11,2014,0,850.0,0,0,79.25,Estándar
1983,11,3,4,0.13,2012,1,1200.0,1,3,78.5,Estándar
2853,4,0,4,0.1,2013,0,1500.0,0,3,85.58,Premium
564,12,2,4,0.0,2015,1,4001.0,0,2,81.83,Bueno
3064,5,7,4,0.12,2014,1,2075.0,0,2,88.83,Premium
2016,3,3,4,0.12,2014,1,1200.0,2,4,77.92,Estándar
370,11,3,4,0.12,2012,1,1550.0,2,10,82.83,Bueno
1700,6,0,4,0.1,2013,1,371.5940262115209,0,2,79.42,Estándar
584,11,15,4,0.11,2012,1,1100.0,0,1,81.75,Bueno
1237,15,15,0,0.0,2014,1,775.0,0,9,82.92,Bueno
1549,11,15,4,0.12,2012,1,1000.0,0,4,81.33,Bueno
1066,6,0,4,0.11,2013,1,399.46357817738493,0,3,83.83,Bueno
1672,11,15,4,0.12,2012,1,1250.0,0,9,80.0,Estándar
1615,11,15,4,0.11,2012,1,1200.0,0,2,80.75,Bueno
