Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Calidad
0,0,0,0.12,2011,1,1250.0,0,2,2
1,7,4,0.17,2013,1,1700.0,0,14,1
6,7,4,0.12,2014,1,371.5940262115209,0,3,0
7,3,0,0.11,2015,1,1350.0,0,3,1
0,6,0,0.11,2012,1,950.0,0,4,1
11,15,4,0.11,2012,1,1050.0,0,3,0
5,7,0,0.1,2014,1,1822.5,0,4,2
15,3,0,0.1,2015,0,1200.0,0,0,1
8,7,3,0.11,2012,1,1325.0,0,3,2
1,1,4,0.1,2015,1,1450.0,0,0,2
0,0,3,0.12,2012,0,125.0,0,2,1
0,2,3,0.1,2016,1,1227.0,1,5,1
14,15,0,0.14,2012,0,350.0,8,16,0
15,15,4,0.11,2014,0,850.0,0,0,0
11,3,4,0.1,2016,1,1600.0,0,2,1
2,3,4,0.12,2013,1,1200.0,1,1,2
2,3,4,0.0,2012,1,1625.0,0,4,1
18,11,4,0.12,2013,1,1950.0,0,5,2
6,0,4,0.11,2013,1,399.46357817738493,3,9,0
3,3,4,0.11,2014,1,1200.0,0,7,0
11,15,4,0.11,2012,1,1250.0,0,2,1
11,15,4,0.12,2012,1,940.0,0,1,1
3,3,4,0.12,2014,1,1200.0,1,2,1
16,7,4,0.12,2014,1,1620.0,0,7,1
13,3,4,0.1,2013,1,1050.0,1,3,1
6,3,0,0.11,2012,1,1450.0,0,1,1
11,6,4,0.12,2013,0,1338.0,0,4,1
1,1,0,0.1,2015,1,1700.0,0,0,2
18,11,4,0.12,2013,1,1950.0,0,5,2
11,15,4,0.12,2012,1,1350.0,0,0,1
11,7,4,0.12,2012,1,1650.0,0,4,1
8,7,0,0.12,2011,1,3500.0,4,26,0
2,3,4,0.11,2013,1,1900.0,0,2,1
11,7,4,0.12,2012,1,850.0,2,7,0
1,1,0,0.1,2015,1,1700.0,0,0,2
7,3,4,0.1,2017,1,1500.0,0,5,1
8,7,0,0.12,2011,1,3500.0,4,26,0
