,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
225,7,3,0,0.1,2015,1,1350.0,0,3,83.5,Bueno
226,2,3,4,0.0,2013,1,1750.0,1,1,83.5,Bueno
227,2,3,4,0.11,2013,1,1750.0,0,2,83.5,Bueno
228,11,0,0,0.13,2012,1,1170.0,0,14,83.5,Bueno
229,11,15,3,0.11,2012,1,940.0,0,12,83.5,Bueno
230,11,8,4,0.12,2012,1,1400.0,0,0,83.5,Bueno
231,6,3,4,0.1,2012,1,464.49253276440106,0,5,83.5,Bueno
232,2,3,4,0.11,2012,1,1775.0,0,0,83.5,Bueno
233,6,0,4,0.0,2012,1,427.333130143249,3,12,83.5,Bueno
234,2,3,4,0.0,2018,1,439.0,0,1,83.42,Bueno
235,6,0,4,0.1,2017,1,1700.0,0,3,83.42,Bueno
236,2,3,4,0.11,2016,1,442.0,0,2,83.42,Bueno
237,3,3,4,0.09,2016,0,1850.0,0,4,83.42,Bueno
238,18,11,4,0.11,2015,1,1800.0,0,1,83.42,Bueno
239,17,1,4,0.13,2015,0,1200.0,0,0,83.42,Bueno
240,2,3,0,0.12,2015,1,442.0,4,0,83.42,Bueno
241,16,0,4,0.13,2014,1,1600.0,0,4,83.42,Bueno
242,2,3,4,0.12,2015,1,1813.0,0,1,83.42,Bueno
243,6,0,0,0.1,2013,1,371.5940262115209,0,1,83.42,Bueno
244,6,3,4,0.1,2014,1,1500.0,0,2,83.42,Bueno
245,6,0,4,0.11,2013,1,399.46357817738493,0,0,83.42,Bueno
246,2,3,4,0.11,2012,1,1450.0,0,2,83.42,Bueno
247,0,2,3,0.1,2016,1,1227.0,1,5,83.33,Bueno
248,11,3,4,0.12,2014,1,1200.0,0,2,83.33,Bueno
249,2,3,4,0.11,2015,1,1650.0,0,1,83.33,Bueno
250,16,7,3,0.12,2014,1,1700.0,0,6,83.33,Bueno
251,11,7,4,0.12,2013,1,1100.0,0,0,83.33,Bueno
252,3,3,4,0.12,2014,1,1300.0,0,3,83.33,Bueno
253,3,2,4,0.11,2013,1,1200.0,0,3,83.33,Bueno
254,14,15,4,0.11,2012,1,390.17372752209695,0,4,83.33,Bueno
255,2,3,0,0.11,2013,1,1000.0,0,1,83.33,Bueno
256,6,0,4,0.11,2013,1,399.46357817738493,0,3,83.33,Bueno
257,2,3,4,0.0,2012,1,1750.0,0,1,83.33,Bueno
258,11,15,4,0.11,2017,0,1600.0,0,0,83.25,Bueno
259,3,2,2,0.11,2016,1,1900.0,0,0,83.25,Bueno
260,6,9,4,0.11,2016,1,2100.0,0,7,83.25,Bueno
261,2,3,0,0.0,2016,1,442.0,0,2,83.25,Bueno
262,11,15,0,0.12,2015,0,1261.0,0,2,83.25,Bueno
263,15,0,4,0.1,2015,0,1000.0,0,0,83.25,Bueno
264,15,15,4,0.1,2014,1,800.0,0,0,83.25,Bueno
265,2,3,0,0.0,2014,1,1483.0,0,0,83.25,Bueno
266,6,3,4,0.1,2014,1,1500.0,0,1,83.25,Bueno
267,2,3,4,0.11,2013,1,1750.0,0,1,83.25,Bueno
