,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points
573,11,3,4,0.12,2012,1,1550.0,2,10,82.83
574,11,0,4,0.12,2012,0,1250.0,0,7,82.83
575,6,0,4,0.11,2012,1,399.46357817738493,0,10,82.83
579,6,3,4,0.11,2017,1,1800.0,0,8,82.75
580,6,0,4,0.11,2017,1,1700.0,0,4,82.75
581,6,0,4,0.1,2017,1,371.5940262115209,0,1,82.75
582,6,0,4,0.1,2017,1,371.5940262115209,0,1,82.75
583,8,7,1,0.12,2017,0,1500.0,0,15,82.75
584,6,0,4,0.12,2017,1,48.12142639439195,0,0,82.75
585,15,16,0,0.0,2016,1,650.0,0,0,82.75
587,3,3,4,0.09,2016,0,1850.0,0,1,82.75
588,7,3,0,0.09,2017,1,1400.0,0,6,82.75
589,0,16,2,0.11,2015,0,905.0,0,1,82.75
590,1,1,0,0.1,2015,1,1100.0,0,0,82.75
591,1,1,4,0.11,2015,1,1500.0,0,2,82.75
592,2,3,4,0.0,2014,0,1775.0,0,2,82.75
593,10,4,4,0.12,2014,0,1442.0,0,0,82.75
594,6,9,4,0.13,2014,1,464.49253276440106,0,2,82.75
595,2,15,4,0.12,2014,1,165.0,0,0,82.75
598,2,3,4,0.1,2013,1,1300.0,0,2,82.75
599,11,15,4,0.12,2013,1,1550.0,0,6,82.75
602,2,3,4,0.0,2012,0,1625.0,0,0,82.75
603,2,3,4,0.11,2012,1,1775.0,0,3,82.75
605,14,2,4,0.0,2012,1,1100.0,0,4,82.75
607,0,0,0,0.0,2018,1,890.0,0,4,82.67
608,0,0,0,0.11,2016,0,934.0,0,3,82.67
609,14,1,4,0.13,2015,0,1300.0,0,0,82.67
610,4,9,4,0.0,2016,1,1200.0,0,7,82.67
613,0,16,0,0.0,2016,1,1.0,0,0,82.67
615,16,7,4,0.12,2014,1,1700.0,0,0,82.67
616,16,0,4,0.12,2014,1,1550.0,0,4,82.67
617,15,15,4,0.08,2014,1,1200.0,0,0,82.67
618,11,15,0,0.11,2014,1,1296.0,0,0,82.67
619,18,11,4,0.12,2013,1,1650.0,0,0,82.67
620,15,15,4,0.11,2014,1,1240.0,0,0,82.67
621,17,3,4,0.11,2013,0,1500.0,0,0,82.67
622,2,3,4,0.11,2012,0,1800.0,0,3,82.67
624,6,3,4,0.11,2012,1,1500.0,0,0,82.67
633,6,0,4,0.1,2017,1,371.5940262115209,0,2,82.58
634,15,15,2,0.11,2016,1,1050.0,0,0,82.58
638,8,15,3,0.13,2015,0,1250.0,0,6,82.58
640,17,3,4,0.12,2014,0,1450.0,0,1,82.58
642,18,11,0,0.12,2013,1,1650.0,0,0,82.58
643,3,2,4,0.11,2013,1,1300.0,0,3,82.58
646,2,3,4,0.11,2013,0,1750.0,0,3,82.58
648,2,3,4,0.11,2013,1,1750.0,0,0,82.58
649,11,15,4,0.1,2012,1,1250.0,0,6,82.58
650,11,15,4,0.12,2012,1,1150.0,0,0,82.58
651,2,3,4,0.11,2012,1,1775.0,2,2,82.58
653,0,0,0,0.11,2018,1,890.0,0,4,82.5
654,8,7,4,0.11,2017,1,1250.0,0,5,82.5
655,7,3,4,0.1,2017,1,1400.0,0,4,82.5
656,6,0,4,0.1,2016,1,371.5940262115209,0,2,82.5
659,16,7,4,0.12,2014,1,1600.0,0,1,82.5
661,11,7,4,0.0,2013,1,1600.0,0,1,82.5
662,0,16,3,0.11,2014,0,1260.0,0,0,82.5
663,6,0,4,0.12,2013,1,399.46357817738493,0,4,82.5
664,2,3,4,0.11,2013,1,1750.0,0,1,82.5
665,6,0,4,0.11,2013,1,399.46357817738493,0,0,82.5
666,11,15,4,0.13,2012,1,1679.0,0,10,82.5
667,11,15,4,0.12,2012,1,1100.0,0,5,82.5
670,0,0,3,0.0,2012,0,1250.0,0,4,82.5
671,2,3,4,0.11,2012,1,1775.0,1,3,82.5
674,7,7,4,0.12,2017,1,1500.0,0,6,82.42
675,6,0,4,0.1,2017,1,1700.0,0,2,82.42
676,6,0,4,0.12,2016,1,1700.0,0,0,82.42
677,6,0,4,0.12,2017,1,48.12142639439195,0,0,82.42
679,2,3,4,0.11,2016,1,1600.0,0,1,82.42
680,1,1,4,0.1,2015,1,1600.0,0,0,82.42
682,16,10,4,0.13,2016,1,2285.0,0,7,82.42
683,0,16,0,0.0,2016,1,1.0,0,0,82.42
684,6,3,4,0.1,2013,1,1400.0,0,0,82.42
685,11,15,4,0.11,2014,1,1296.0,0,0,82.42
686,0,2,3,0.12,2012,0,1000.0,0,1,82.42
688,0,16,0,0.0,2014,1,1260.0,0,0,82.42
689,11,0,4,0.12,2013,1,1170.0,0,0,82.42
691,2,3,4,0.11,2013,1,1775.0,0,9,82.42
692,11,15,4,0.12,2013,1,1560.0,0,5,82.42
693,11,15,3,0.13,2012,1,1400.0,0,2,82.42
694,11,15,4,0.14,2012,1,1300.0,0,9,82.42
